seller_id,seller_short_code,seller_name,shop_url
1003737,BD1NED7,Bike Shop CTG,https://www.daraz.com.bd/shop/bike-shop-ctg
1003746,BD1NEDG,Gadget  Fast,https://www.daraz.com.bd/shop/gadget-fast
1003747,BD1NEDH,"""Noorays CTG""",https://www.daraz.com.bd/shop/noorays-ctg
1003751,BD1NEDL,The Mobile Shop,https://www.daraz.com.bd/shop/the-mobile-shop
1003759,BD1NEDU,Mobile View,https://www.daraz.com.bd/shop/mobile-view
1003763,BD1NEDY,Topshop,https://www.daraz.com.bd/shop/topshop
1003764,BD1NEDZ,Amin Computers,https://www.daraz.com.bd/shop/amin-computers
1003765,BD1NEE0,Digital World,https://www.daraz.com.bd/shop/digital-world
1003766,BD1NEE1,PC-shop,https://www.daraz.com.bd/shop/pc-shop
1003769,BD1NEE4,T-Shirt King,https://www.daraz.com.bd/shop/t-shirt-king
1003774,BD1NEE9,New Look,https://www.daraz.com.bd/shop/new-look
1003779,BD1NEEE,Daily bazar 24,https://www.daraz.com.bd/shop/daily-bazar-24
1003798,BD1NEEY,Skill Petroleum Corporation,https://www.daraz.com.bd/shop/skill-petroleum-corporation
1003800,BD1NEF0,besorom,https://www.daraz.com.bd/shop/besorom
1003807,BD1NEF7,Fashionmerry Leather Products,https://www.daraz.com.bd/shop/fashionmerry-leather-products
1003809,BD1NEF9,ome trade,https://www.daraz.com.bd/shop/ome-trade
1003811,BD1NEFB,Talukder shop,https://www.daraz.com.bd/shop/talukder-shop
1003812,BD1NEFC,"""NiluS Collection""",https://www.daraz.com.bd/shop/nilus-collection
1003813,BD1NEFD,IT Fair & Electronics,https://www.daraz.com.bd/shop/it-fair-electronics
1003815,BD1NEFF,S.B Shopping Center,https://www.daraz.com.bd/shop/sb-shopping-center
1003816,BD1NEFG,Baby World CTG,https://www.daraz.com.bd/shop/baby-world-ctg
1003819,BD1NEFJ,Cosmos Holiday,https://www.daraz.com.bd/shop/cosmos-holiday
1003820,BD1NEFK,SEE,https://www.daraz.com.bd/shop/see
1003826,BD1NEFR,BD Telecom,https://www.daraz.com.bd/shop/bd-telecom
1003827,BD1NEFS,Nutdeal,https://www.daraz.com.bd/shop/nutdeal
1003831,BD1NEFW,Rongdhonu CTG,https://www.daraz.com.bd/shop/rongdhonu-ctg
1003833,BD1NEFY,MIRAZ ENTERPRISE,https://www.daraz.com.bd/shop/miraz-enterprise
